Bonmin 1.7 using Cbc 2.8 and Ipopt 3.11


******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           197         OPT 749205.75       17 0.029981
NLP0014I           198         OPT 758194.02       19 0.032989
NLP0014I           199         OPT 749205.75       17 0.027288
NLP0014I           200         OPT 758865.24       17 0.025965
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           201         OPT 749986.07       17 0.03103
NLP0014I           202         OPT 759028.25       17 0.031811
NLP0014I           203         OPT 753902.1       18 0.031363
NLP0014I           204         OPT 761028.14       18 0.033926
NLP0014I           205         OPT 756793.2       22 0.043534
NLP0014I           206         OPT 763365.41       21 0.036125
NLP0014I           207         OPT 760083.43       20 0.031658
NLP0014I           208         OPT 767420.6       21 0.034886
NLP0014I           209         OPT 761834.47       22 0.037008
NLP0014I           210         OPT 770034.26       23 0.037881
NLP0014I           211         OPT 761834.47       22 0.03964
NLP0014I           212         OPT 768594.93       22 0.036584
NLP0014I           213         OPT 763102.64       23 0.037722
NLP0014I           214         OPT 768559.58       20 0.032404
NLP0014I           215         OPT 765761.1       25 0.04015
NLP0014I           216         OPT 770100.99       23 0.04572
NLP0014I           217         OPT 768103.38       25 0.039059
NLP0014I           218         OPT 774095.37       26 0.041044
NLP0014I           219         OPT 769440.38       25 0.039366
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I             1         OPT 769440.38       16 0.02087
Cbc0004I Integer solution of 769440.38 found after 1485 iterations and 79 nodes (8.15 seconds)
NLP0014I           220         OPT 760575.56       19 0.030807
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           221         OPT 775784       21 0.03659
NLP0014I           222         OPT 763286.08       20 0.033923
NLP0014I           223         OPT 779684.88       20 0.028248
NLP0014I           224         OPT 763286.08       18 0.032429
NLP0014I           225         OPT 772047.53       17 0.030599
NLP0014I           226         OPT 765990.09       22 0.036027
NLP0014I           227         OPT 773450.06       18 0.03358
NLP0014I           228         OPT 766253.51       19 0.033561
NLP0014I           229         OPT 775417.93       18 0.029128
NLP0014I           230         OPT 766253.51       19 0.029058
NLP0014I           231         OPT 772908.95       18 0.030979
NLP0014I           232         OPT 768305.37       20 0.02887
NLP0014I           233         OPT 773173.69       21 0.034923
NLP0014I           234         OPT 771955.47       25 0.047732
NLP0014I           235         OPT 775547.52       21 0.03513
NLP0014I           236         OPT 758298.34       18 0.028083
NLP0014I           237         OPT 767648.68       19 0.034247
NLP0014I           238         OPT 761800.76       18 0.028402
NLP0014I           239         OPT 769533.59       21 0.034888
NLP0014I           240         OPT 764740.32       18 0.030188
Cbc0010I After 100 nodes, 24 on tree, 769440.38 best solution, best possible 758865.24 (8.85 seconds)
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           241         OPT 770088.17       19 0.029559
NLP0014I           242         OPT 767651.2       18 0.029394
NLP0014I           243         OPT 775072.93       19 0.025767
NLP0014I           244         OPT 768761.08       18 0.03306
NLP0014I           245         OPT 776488.02       17 0.02706
NLP0014I           246         OPT 768761.08       18 0.031108
NLP0014I           247         OPT 777843.86       20 0.032843
NLP0014I           248         OPT 770425.74       20 0.033519
NLP0014I           249         OPT 778439.86       21 0.034563
NLP0014I           250         OPT 759383.35       16 0.023856
NLP0014I           251         OPT 768374.38       18 0.039315
NLP0014I           252         OPT 763722.58       18 0.032117
NLP0014I           253         OPT 770342.69       18 0.032936
NLP0014I           254         OPT 766467.86       20 0.032175
NLP0014I           255         OPT 775724.75       21 0.03383
NLP0014I           256         OPT 769223.17       23 0.028299
NLP0014I           257         OPT 776200.03       21 0.034197
NLP0014I           258         OPT 771152.68       19 0.029611
NLP0014I           259         OPT 779324.31       19 0.029306
NLP0014I           260         OPT 762764.4       17 0.02454
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           261         OPT 770660.03       17 0.032688
NLP0014I           262         OPT 765620.48       20 0.035346
NLP0014I           263         OPT 773046.22       20 0.035821
NLP0014I           264         OPT 768806.22       19 0.035461
NLP0014I           265         OPT 776167.02       19 0.031898
NLP0014I           266         OPT 770435.02       20 0.03362
NLP0014I           267         OPT 778511.11       22 0.034501
NLP0014I           268         OPT 761745.04       20 0.037698
NLP0014I           269         OPT 768955.88       16 0.027927
NLP0014I           270         OPT 764291.12       18 0.035033
NLP0014I           271         OPT 773614.21       17 0.02791
NLP0014I           272         OPT 764291.12       18 0.034266
NLP0014I           273         OPT 773740.55       17 0.031984
NLP0014I           274         OPT 767198.73       19 0.031479
NLP0014I           275         OPT 774621.14       19 0.032604
NLP0014I           276         OPT 768259.57       18 0.029484
NLP0014I           277         OPT 776950.92       20 0.04321
NLP0014I           278         OPT 768259.57       18 0.028173
NLP0014I           279         OPT 777240.84       21 0.035116
NLP0014I           280         OPT 769962.82       18 0.03008
NLP0012I 
              Num      Status      Obj             It       time                 Location
NLP0014I           281         OPT 774475.92       19 0.025434
